FlyingEnemy,11616,192,32,32,0,0
FlyingEnemy2,11488,128,32,32,0,0
FlyingEnemy,11776,160,32,32,0,0
SkatingEnemy2,12544,64,32,32,0,0
SkatingEnemy2,12544,96,32,32,0,0
SkatingEnemy2,12544,128,32,32,0,0
SkatingEnemy2,12544,160,32,32,0,0
SkatingEnemy2,12544,192,32,32,0,0
SkatingEnemy2,12544,224,32,32,0,0
SkatingEnemy2,12544,256,32,32,0,0
SkatingEnemy2,12544,288,32,32,0,0
SkatingEnemy2,12544,320,32,32,0,0
SkatingEnemy2,12544,352,32,32,0,0
JumpingEnemy,768,352,32,32,1,0
JumpingEnemy,832,352,32,32,1,0
SkatingEnemy,1248,256,32,32,1,0
StationalEnemy3,992,128,32,32,1,0
FlyingEnemy3,1792,320,32,32,1,0
FlyingOutEnemy3,1792,384,32,32,1,0
SkatingEnemy2,2720,64,32,32,1,0
SkatingEnemy2,2720,128,32,32,1,0
SkatingEnemy2,2720,192,32,32,1,0
SkatingEnemy2,3552,64,32,32,1,0
FlyingEnemy,3136,128,32,32,1,0
JumpingEnemy3,2944,352,32,32,1,0
JumpingEnemy3,3840,384,32,32,1,0
JumpingEnemy3,3584,128,32,32,1,0
SkatingEnemy2,3872,288,32,32,1,0
FlyingOutEnemy3,4096,352,32,32,1,0
SkatingEnemy2,4960,192,32,32,1,0
SkatingEnemy2,5312,256,32,32,1,0
JumpingEnemy,5312,384,32,32,1,0
JumpingEnemy,5568,352,32,32,1,0
FlyingEnemy3,5984,160,32,32,1,0
FlyingEnemy,6304,64,32,32,1,0
FlyingEnemy,6464,128,32,32,1,0
JumpingEnemy3,6848,384,32,32,1,0
JumpingEnemy3,6880,352,32,32,1,0
JumpingEnemy3,6944,288,32,32,1,0
JumpingEnemy3,6784,224,32,32,1,0
SkatingEnemy2,7488,96,32,32,1,0
SkatingEnemy2,7744,192,32,32,1,0
FlyingEnemy3,7904,352,32,32,1,0
SkatingEnemy2,8224,160,32,32,1,0
RushingOutEnemy,8160,448,32,32,1,0
FlyingOutEnemy2,8192,64,32,32,1,0
RushingOutEnemy,8544,448,32,32,1,0
RushingOutEnemy,8608,448,32,32,1,0
FlyingOutEnemy,8416,288,32,32,1,0
FlyingOutEnemy,8704,288,32,32,1,0
FlyingOutEnemy,8736,288,32,32,1,0
RushingOutEnemy,8832,448,32,32,1,0
RushingOutEnemy,9088,448,32,32,1,0
FlyingOutEnemy3,9248,224,32,32,1,0
FlyingEnemy3,9536,256,32,32,1,0
SkatingEnemy,9760,128,32,32,1,0
FlyingEnemy3,10016,160,32,32,1,0
JumpingEnemy,9856,256,32,32,1,0
RushingOutEnemy,9696,448,32,32,1,0
RushingOutEnemy,9952,448,32,32,1,0
RushingOutEnemy,10208,448,32,32,1,0
RushingOutEnemy,10400,448,32,32,1,0
RushingOutEnemy,10752,448,32,32,1,0
SkatingEnemy2,11424,352,32,32,1,0
SkatingEnemy2,11072,96,32,32,1,0
SkatingEnemy2,11136,128,32,32,1,0
FlyingEnemy,10688,128,32,32,1,0
JumpingEnemy3,10432,160,32,32,1,0
JumpingEnemy3,10208,288,32,32,1,0
JumpingEnemy3,10592,320,32,32,1,0
JumpingEnemy3,11200,224,32,32,1,0
FlyingEnemy3,11264,32,32,32,1,0
SkatingEnemy2,12064,192,32,32,1,0
SkatingEnemy2,12032,320,32,32,1,0
Block,992,416,32,32,0,0
Block,1024,416,32,32,0,0
Block,1024,384,32,32,0,0
Block,1056,384,32,32,0,0
Block,1056,416,32,32,0,0
Block,1088,416,32,32,0,0
Block,1088,384,32,32,0,0
Block,1120,384,32,32,0,0
Block,1120,416,32,32,0,0
Block,1152,416,32,32,0,0
Block,1152,384,32,32,0,0
Block,1216,384,32,32,0,0
Block,1184,384,32,32,0,0
Block,1184,448,32,32,0,0
Block,1184,416,32,32,0,0
Block,1088,352,32,32,0,0
Block,1120,352,32,32,0,0
Block,1152,320,32,32,0,0
Block,1152,352,32,32,0,0
Block,1184,352,32,32,0,0
Block,1184,320,32,32,0,0
Block,1216,288,32,32,0,0
Block,1216,320,32,32,0,0
Block,1216,352,32,32,0,0
Block,1248,288,32,32,0,0
Block,1248,320,32,32,0,0
Block,1248,352,32,32,0,0
Block,1248,384,32,32,0,0
Block,1280,288,32,32,0,0
Block,1312,288,32,32,0,0
Block,1344,288,32,32,0,0
Block,1376,288,32,32,0,0
Block,1280,320,32,32,0,0
Block,1280,352,32,32,0,0
Block,1280,384,32,32,0,0
Block,1312,320,32,32,0,0
Block,1312,352,32,32,0,0
Block,1312,384,32,32,0,0
Block,1344,320,32,32,0,0
Block,1344,352,32,32,0,0
Block,1344,384,32,32,0,0
Block,1376,320,32,32,0,0
Block,1376,352,32,32,0,0
Block,1376,384,32,32,0,0
